"line","mateA","mateB","genotype","RDH","n_bott","control","ploidy","petite"
"98","98",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"57x96","57",96,"heterozygote","del",100,FALSE,"diploid",TRUE
"70x96","70",96,"heterozygote","del",0,TRUE,"diploid",TRUE
"25","25",NA,"haploid","del",100,FALSE,"haploid",FALSE
"33","33",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"78x78","78",78,"homozygote","wt",100,FALSE,"diploid",TRUE
"100x100","100",100,"homozygote","del",100,FALSE,"diploid",TRUE
"85","85",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"112","112",NA,"haploid","wt",87,FALSE,"haploid",FALSE
"113x113","113",113,"homozygote","wt",87,FALSE,"diploid",TRUE
"125x20","125",20,"heterozygote","wt",87,FALSE,"diploid",TRUE
"127x127","127",127,"homozygote","wt",87,FALSE,"diploid",TRUE
"117","117",NA,"haploid","del",0,TRUE,"haploid",TRUE
"104","104",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"91x91","91",91,"homozygote","wt",0,TRUE,"diploid",TRUE
"28x28","28",28,"homozygote","wt",100,FALSE,"diploid",TRUE
"53","53",NA,"haploid","del",100,FALSE,"haploid",FALSE
"41","41",NA,"haploid","del",100,FALSE,"haploid",TRUE
"60","60",NA,"haploid","del",100,FALSE,"haploid",TRUE
"72","72",NA,"haploid","del",0,TRUE,"haploid",TRUE
"68x68","68",68,"homozygote","wt",0,TRUE,"diploid",FALSE
"38x38","38",38,"homozygote","del",100,FALSE,"diploid",FALSE
"77x77","77",77,"homozygote","del",100,FALSE,"diploid",FALSE
"131","131",NA,"haploid","del",67,FALSE,"haploid",TRUE
"74x135","74",135,"heterozygote","del",100,FALSE,"diploid",TRUE
"55","55",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"22x22","22",22,"homozygote","del",0,TRUE,"diploid",FALSE
"85x93","85",93,"heterozygote","wt",100,FALSE,"diploid",TRUE
"24x24","24",24,"homozygote","del",0,TRUE,"diploid",FALSE
"1x67","1",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"34","34",NA,"haploid","del",100,FALSE,"haploid",FALSE
"18","18",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"113","113",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"115x115","115",115,"homozygote","wt",0,TRUE,"diploid",TRUE
"68x20","68",20,"heterozygote","wt",0,TRUE,"diploid",TRUE
"80","80",NA,"haploid","del",100,FALSE,"haploid",TRUE
"100x46","100",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"9x9","9",9,"homozygote","del",100,FALSE,"diploid",FALSE
"90x90","90",90,"homozygote","del",59,FALSE,"diploid",FALSE
"59x59","59",59,"homozygote","wt",100,FALSE,"diploid",FALSE
"24x135","24",135,"heterozygote","del",0,TRUE,"diploid",TRUE
"97x97","97",97,"homozygote","wt",100,FALSE,"diploid",TRUE
"45","45",NA,"haploid","wt",0,TRUE,"haploid",TRUE
"130x46","130",46,"heterozygote","del",88,FALSE,"diploid",TRUE
"96x96","96",96,"homozygote","del",0,TRUE,"diploid",FALSE
"1x1","1",1,"homozygote","wt",100,FALSE,"diploid",TRUE
"109x67","109",67,"heterozygote","wt",87,FALSE,"diploid",TRUE
"128x128","128",128,"homozygote","del",53,FALSE,"diploid",FALSE
"63x63","63",63,"homozygote","del",100,FALSE,"diploid",TRUE
"63","63",NA,"haploid","del",100,FALSE,"haploid",TRUE
"2","2",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"19","19",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"8x8","8",8,"homozygote","wt",100,FALSE,"diploid",TRUE
"68","68",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"24","24",NA,"haploid","del",0,TRUE,"haploid",FALSE
"79x79","79",79,"homozygote","del",100,FALSE,"diploid",TRUE
"73x73","73",73,"homozygote","del",100,FALSE,"diploid",FALSE
"25x25","25",25,"homozygote","del",100,FALSE,"diploid",TRUE
"41x96","41",96,"heterozygote","del",100,FALSE,"diploid",TRUE
"74x74","74",74,"homozygote","del",100,FALSE,"diploid",TRUE
"58","58",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"121x121","121",121,"homozygote","wt",87,FALSE,"diploid",TRUE
"15","15",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"106x106","106",106,"homozygote","del",100,FALSE,"diploid",TRUE
"51x93","51",93,"heterozygote","wt",100,FALSE,"diploid",FALSE
