"day","machine","Well.ID","line","pipettor","note","file","mateA","mateB","genotype","RDH","n_bott","growth","Init_OD","OD_at_maxslope","time_at_maxslope","control","ploidy","plate","row","col"
1,2,"72","65x93","linnea","","day1.csv","65","93","heterozygote","wt",100,0.21916139391065,0.2595,0.603,13,FALSE,"diploid","2",2,7
1,2,"73","5x5","linnea","","day1.csv","5","5","homozygote","wt",100,0.224248862429333,0.2575,0.714,13,FALSE,"diploid","2",3,7
1,2,"74","51x51","linnea","","day1.csv","51","51","homozygote","wt",100,0.22839817523379,0.256833333333333,0.612,13,FALSE,"diploid","2",4,7
1,2,"75","136","linnea","","day1.csv","136",NA,"haploid","wt",0,0.267479992607789,0.259666666666667,0.811,11,TRUE,"haploid","2",5,7
1,2,"76","44","linnea","","day1.csv","44",NA,"haploid","wt",0,0.269591384424728,0.263833333333333,0.66,9.5,TRUE,"haploid","2",6,7
1,2,"77","129","linnea","","day1.csv","129",NA,"haploid","wt",74,0.274259560018031,0.260333333333333,0.767,11,FALSE,"haploid","2",7,7
1,2,"78","48x48","linnea","","day1.csv","48","48","homozygote","del",0,0.193116056262932,0.2585,0.7,13,TRUE,"diploid","2",8,7
1,2,"79","103","linnea","","day1.csv","103",NA,"haploid","del",100,0.262607900305967,0.256166666666667,0.722,13,FALSE,"haploid","2",9,7
1,2,"80","58x20","linnea","","day1.csv","58","20","heterozygote","wt",100,0.208309168930887,0.255833333333333,0.606,14,FALSE,"diploid","2",10,7
1,2,"81","33x20","linnea","","day1.csv","33","20","heterozygote","wt",100,0.219865642714367,0.255333333333333,0.593,13.5,FALSE,"diploid","2",1,8
1,2,"82","3x135","linnea","","day1.csv","3","135","heterozygote","del",100,0.247405274189649,0.256166666666667,0.654,11.5,FALSE,"diploid","2",2,8
