Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
3,D12,116,3,na,,,,,,,,,,,,,,,
3,E1,117,3,na,,,,,,,,,,,,,,,
3,E2,118,3,na,,,,,,,,,,,,,,,
3,E3,119,3,na,,,,,,,,,,,,,,,
3,E4,120,3,na,,,,,,,,,,,,,,,
3,E5,121,3,na,,,,,,,,,,,,,,,
3,E6,122,3,na,,,,,,,,,,,,,,,
3,E7,123,3,na,,,,,,,,,,,,,,,
3,E8,124,3,na,,,,,,,,,,,,,,,
3,E9,125,3,na,,,,,,,,,,,,,,,
3,E10,126,3,na,,,,,,,,,,,,,,,
3,E11,127,3,na,,,,,,,,,,,,,,,
3,E12,128,3,na,,,,,,,,,,,,,,,
3,F1,129,3,na,,,,,,,,,,,,,,,
3,F2,130,3,na,,,,,,,,,,,,,,,
3,F3,131,3,na,,,,,,,,,,,,,,,
3,F4,133,3,na,,,,,,,,,,,,,,,
3,F5,134,3,na,,,,,,,,,,,,,,,
3,F6,135,3,na,,,,,,,,,,,,,,,
3,F7,136,3,na,,,,,,,,,,,,,,,
4,A1,48x95,1,0.388,,,,,,,,,,,,,,,
4,A2,29x95,1,0.317,,,,,,,,,,,,,,,
4,A3,39x92,1,0.281,,,,,,,,,,,,,,,
4,A4,8x67,1,0.085,,,,,,,,,,,,,,,
4,A5,32x134,1,0.455,,,,,,,,,,,,,,,
4,A6,18x92,1,0.426,,,,,,,,,,,,,,,
4,A7,25x48,1,0.101,,,,,,,,,,,,,,,
4,A8,a-1,1,0.387,,,,,,,,,,,,,,,
4,A9,45x67,1,0.289,,,,,,,,,,,,,,,
4,A10,dip-2,1,0.229,,,,,,,,,,,,,,,
4,A11,dip-2,1,0.293,,,,,,,,,,,,,,,
4,A12,a-2,1,0.356,,,,,,,,,,,,,,,
4,B1,2x92,1,0.35,,,,,,,,,,,,,,,
4,B2,29x95,1,0.37,,,,,,,,,,,,,,,
4,B3,25x48,1,0.111,,,,,,,,,,,,,,,
4,B4,25x48,1,0.143,,,,,,,,,,,,,,,
4,B5,23x23,1,0.364,,,,,,,,,,,,,,,
4,B6,135x135,1,0.332,,,,,,,,,,,,,,,
4,B7,45x67,1,0.411,,,,,,,,,,,,,,,
4,B8,4x4,1,0.355,,,,,,,,,,,,,,,
4,B9,117x134,1,0.331,,,,,,,,,,,,,,,
4,B10,35x35,1,0.346,,,,,,,,,,,,,,,
4,B11,8x67,1,0.115,,,,,,,,,,,,,,,
4,B12,35x35,1,0.323,,,,,,,,,,,,,,,
4,C1,4x134,1,0.408,,,,,,,,,,,,,,,
